Id,Sexo,Edad,Nivel_educativo,SOC_1,SOC_2,SOC_3,SOC_4,SOC_5,SOC_6,SOC_7,SOC_8,SOC_9,SOC_10,SOC_11,SOC_12,SOC_13,SOC_1_INV,SOC_2_INV,SOC_3_INV,SOC_7_INV,SOC_10_INV,TOTAL_SOC,Comprensibility,Manejability,Meaningfulness
122,Women,21,University,2,4,3,2,3,4,5,4,3,4,2,6,6,6,4,5,3,4,52,17,18,17
123,Women,20,Secondary school,1,3,2,7,7,5,3,6,7,2,6,7,7,7,5,6,5,6,81,29,26,26
124,Men,22,University,2,5,4,6,6,4,2,4,6,5,5,4,6,6,3,4,6,3,63,22,19,22
125,Women,21,University,2,5,5,5,4,5,2,5,5,3,5,6,5,6,3,3,6,5,63,23,17,23
126,Women,19,University,1,2,1,4,7,7,2,7,7,1,4,6,6,7,6,7,6,7,81,31,27,23
127,Women,23,University,6,6,6,7,1,2,6,2,2,7,2,1,7,2,2,2,2,1,33,10,11,12
128,Women,24,University,2,2,3,4,6,6,2,6,6,2,5,7,6,6,6,5,6,6,75,29,23,23
129,Women,23,University,1,4,3,6,2,5,2,4,3,3,2,6,6,7,4,5,6,5,61,18,18,25
130,Women,20,University,6,2,2,5,5,3,2,3,3,4,4,6,6,2,6,6,6,4,59,19,21,19
131,Women,22,University,1,5,2,6,3,3,2,5,6,4,2,7,3,7,3,6,6,4,61,19,16,26
132,Women,21,University,1,5,2,6,5,3,3,4,7,5,5,5,6,7,3,6,5,3,65,22,20,23
133,Men,19,University,6,2,2,3,2,2,2,3,4,2,7,2,5,2,6,6,6,6,54,22,19,13
134,Women,20,University,3,3,2,7,6,6,2,2,6,2,6,7,7,5,5,6,6,6,75,25,25,25
135,Women,20,University,2,4,3,5,6,6,3,6,6,2,5,7,6,6,4,5,5,6,73,27,23,23
136,Women,26,University,1,4,1,6,7,7,1,6,7,2,6,7,7,7,4,7,7,6,84,30,27,27
137,Women,20,University,2,4,3,5,6,5,3,5,6,3,5,5,5,6,4,5,5,5,67,25,21,21
138,Women,24,University,2,2,3,5,6,6,3,5,6,2,5,6,6,6,6,5,5,6,73,28,23,22
139,Men,23,University,1,2,2,6,5,5,2,4,5,2,6,7,7,7,6,6,6,6,76,26,24,26
140,Women,21,University,3,2,5,7,4,7,2,5,6,4,3,6,6,5,6,3,6,4,68,27,17,24
141,Women,19,University,2,4,4,6,5,5,2,3,2,5,4,6,6,6,4,4,6,3,60,18,18,24
142,Men,20,University,2,5,3,6,6,5,2,5,5,2,4,6,6,6,3,5,6,6,69,22,23,24
200,Men,40,University,4,2,6,6,3,4,4,6,3,5,6,2,6,4,6,2,4,3,55,25,14,16
201,Men,30,Secondary school,6,5,7,5,5,2,2,2,5,6,5,3,5,2,3,1,6,2,46,17,13,16
202,Men,48,Primary school,3,4,5,5,6,6,4,5,5,1,5,5,6,5,4,3,4,7,66,25,22,19
203,Men,47,Secondary school,4,5,5,6,3,4,3,3,3,5,5,6,5,4,3,3,5,3,53,18,14,21
204,Men,41,University,7,7,7,7,1,7,2,7,2,6,2,7,6,1,1,1,6,2,50,19,10,21
205,Women,47,University,3,4,4,5,6,6,3,4,6,5,5,6,5,5,4,4,5,3,64,25,18,21
206,Women,42,Secondary school,4,5,6,4,6,4,3,3,5,5,4,4,6,4,3,2,5,3,53,19,17,17
207,Women,36,Secondary school,2,4,7,7,1,1,1,4,4,4,4,7,3,6,4,1,7,4,53,17,9,27
208,Women,50,Secondary school,7,6,6,7,5,2,1,2,4,2,6,7,7,1,2,2,7,6,58,16,20,22
209,Women,46,University,1,2,1,6,6,7,1,7,6,2,4,6,6,7,6,7,7,6,81,30,25,26
210,Women,47,Secondary school,1,7,4,6,7,7,1,6,7,5,6,7,7,7,1,4,7,3,75,27,21,27
211,Men,58,University,3,4,6,7,7,6,1,6,7,3,5,6,6,5,4,2,7,5,73,28,20,25
212,Men,49,University,2,1,2,5,6,7,1,7,5,6,2,7,6,6,7,6,7,2,73,28,20,25
